Lake,collection_date,location,dissection_date,fish_number,fish_weight,fish_length,fish_height,number_schisto,Notes
Illiamna,Summer 2017,Littoral,6-Feb-20,1,1.69,55,13,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,2,2.16,57,12,1,red under gill not in #1 or #3
Illiamna,Summer 2017,Littoral,6-Feb-20,3,1.65,60,11,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,4,1.41,53,10,1,
Illiamna,Summer 2017,Littoral,6-Feb-20,5,1.89,55,12,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,6,1.44,53,11,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,7,1.54,54,12,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,8,1.52,54,11,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,9,1.83,58,13,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,10,1.61,51,11,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,11,1.97,52,14,3,
Illiamna,Summer 2017,Littoral,6-Feb-20,12,1.91,54,13,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,13,1.56,54,14,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,14,0.96,44,9,2,N.B. picked up a gonad initially
Illiamna,Summer 2017,Littoral,6-Feb-20,15,1.66,56,11,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,16,1.85,61,12,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,17,0.97,48,12,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,18,1.44,48,11,2,
Illiamna,Summer 2017,Littoral,6-Feb-20,19,1.14,52,12,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,20,2.05,57,14,0,"full of eggs, very gravid"
Illiamna,Summer 2017,Littoral,6-Feb-20,21,1.26,53,11,1,very gravid
Illiamna,Summer 2017,Littoral,6-Feb-20,22,1.53,63,11,1,
Illiamna,Summer 2017,Littoral,6-Feb-20,23,1.54,57,10,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,24,1.81,62,12,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,25,1.89,51,11,1,
Illiamna,Summer 2017,Littoral,6-Feb-20,26,1.19,51,10,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,27,1.14,52,9,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,28,1.74,57,10,0,gravid
Illiamna,Summer 2017,Littoral,6-Feb-20,29,1.35,58,11,0,internally damaged
Illiamna,Summer 2017,Littoral,6-Feb-20,30,1.79,60,10,1,
Illiamna,Summer 2017,Littoral,6-Feb-20,31,2.14,58,14,2,"1 schisto. very small, broken (in handling)"
Illiamna,Summer 2017,Littoral,6-Feb-20,32,1.48,58,12,1,
Illiamna,Summer 2017,Littoral,6-Feb-20,33,1.52,60,11,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,34,1.78,55,12,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,35,1.39,58,12,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,36,1.61,60,10,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,37,1.97,58,12,1,"big, fat schisto (photoed)"
Illiamna,Summer 2017,Littoral,6-Feb-20,38,1.88,56,11,2,big ones (photoed)
Illiamna,Summer 2017,Littoral,6-Feb-20,39,1.6,54,12,1,schisto. accidentally broken
Illiamna,Summer 2017,Littoral,6-Feb-20,40,1.31,58,12,0,"no schisto; 1 nematode, vouchered and measured, 25 mm long, <.05 mm wide; not weighed"
Illiamna,Summer 2017,Littoral,6-Feb-20,41,1.4,63,12,0,no structural integrity; maybe had a hole in body. Should it be counted?
Illiamna,Summer 2017,Littoral,6-Feb-20,42,1.38,58,10,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,43,1.06,54,10,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,44,2.66,58,12,3,massive schistos (photographed by MW)
Illiamna,Summer 2017,Littoral,6-Feb-20,45,1.2,54,11,0,insides were outside; no structural integrity. Should it be counted?
Illiamna,Summer 2017,Littoral,6-Feb-20,46,1.37,54,12,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,47,1.22,53,11,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,48,1.78,62,12,0,
Illiamna,Summer 2017,Littoral,6-Feb-20,49,1.18,53,10,0,small fish
Illiamna,Summer 2017,Littoral,6-Feb-20,50,2.03,56,13,1,large schisto.
Illiamna,Summer 2017,Limnetic,6-Feb-20,51,1.41,53,9,2,
Illiamna,Summer 2017,Limnetic,6-Feb-20,52,1.47,56,9,1,
Illiamna,Summer 2017,Limnetic,6-Feb-20,53,1.93,60,12,2,
Illiamna,Summer 2017,Limnetic,6-Feb-20,54,1.77,56,11,0,very red coloration
Illiamna,Summer 2017,Limnetic,6-Feb-20,55,1.95,58,12,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,56,0.87,51,12,2,
Illiamna,Summer 2017,Limnetic,6-Feb-20,57,1.66,56,11,4,photographed during dissection
Illiamna,Summer 2017,Limnetic,6-Feb-20,58,0.41,33,6,1,photographed; long as fish
Illiamna,Summer 2017,Limnetic,6-Feb-20,59,1.72,61,12,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,60,0.95,41,8,1,
Illiamna,Summer 2017,Limnetic,6-Feb-20,61,1.46,56,11,1,"1 schisto; 1 nematode = broken, 6 mm long, <0.5 mm height; nematode vouchered = nematode #2"
Illiamna,Summer 2017,Limnetic,6-Feb-20,62,0.59,40,7,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,63,1.46,48,11,1,
Illiamna,Summer 2017,Limnetic,6-Feb-20,64,1.16,55,10,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,65,0.95,51,10,1,
Illiamna,Summer 2017,Limnetic,6-Feb-20,66,0.77,50,9,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,67,0.16,31,7,2,
Illiamna,Summer 2017,Limnetic,6-Feb-20,68,0.38,34,8,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,69,1.48,56,11,1,
Illiamna,Summer 2017,Limnetic,6-Feb-20,70,0.23,32,4,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,71,0.38,37,7,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,72,1.1,52,9,1,
Illiamna,Summer 2017,Limnetic,6-Feb-20,73,1.09,46,9,1,
Illiamna,Summer 2017,Limnetic,6-Feb-20,74,0.6,37,7,1,
Illiamna,Summer 2017,Limnetic,6-Feb-20,75,1.23,51,10,1,
Illiamna,Summer 2017,Limnetic,6-Feb-20,76,0.73,47,8,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,77,0.26,32,6,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,78,0.55,42,7,1,
Illiamna,Summer 2017,Limnetic,6-Feb-20,79,1.66,55,11,1,
Illiamna,Summer 2017,Limnetic,6-Feb-20,80,0.44,38,7,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,81,1.19,54,9,1,
Illiamna,Summer 2017,Limnetic,6-Feb-20,82,0.74,41,7,1,
Illiamna,Summer 2017,Limnetic,6-Feb-20,83,0.53,39,8,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,84,0.92,43,9,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,85,0.88,49,8,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,86,1.7,59,12,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,87,0.41,36,8,1,
Illiamna,Summer 2017,Limnetic,6-Feb-20,88,1.21,54,11,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,89,0.18,26,4,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,90,0.92,44,8,1,
Illiamna,Summer 2017,Limnetic,6-Feb-20,91,0.06,20,2,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,92,0.54,35,6,3,
Illiamna,Summer 2017,Limnetic,6-Feb-20,93,0.72,47,9,1,
Illiamna,Summer 2017,Limnetic,6-Feb-20,94,0.35,33,5,1,
Illiamna,Summer 2017,Limnetic,6-Feb-20,95,0.97,51,9,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,96,1.94,64,10,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,97,0.19,29,6,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,98,0.25,32,7,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,99,1.14,48,9,0,
Illiamna,Summer 2017,Limnetic,6-Feb-20,100,0.36,35,7,0,
Illiamna,Summer 2017,Limnetic,7-Feb-20,101,1.41,48,10,1,10
Illiamna,Summer 2017,Limnetic,7-Feb-20,102,1.45,51,10,1,10
Illiamna,Summer 2017,Limnetic,7-Feb-20,103,1.92,54,10,1,10
Illiamna,Summer 2017,Limnetic,7-Feb-20,104,1.56,52,10,0,10
Illiamna,Summer 2017,Limnetic,7-Feb-20,105,1.62,54,16,0,16
Illiamna,Summer 2017,Limnetic,7-Feb-20,106,2.14,61,12,2,12
Illiamna,Summer 2017,Limnetic,7-Feb-20,107,1.25,49,11,0,11
Illiamna,Summer 2017,Limnetic,7-Feb-20,108,1.58,56,11,0,11
Illiamna,Summer 2017,Limnetic,7-Feb-20,109,1.73,52,10,1,
Illiamna,Summer 2017,Limnetic,7-Feb-20,110,1.65,51,10,1,
Illiamna,Summer 2017,Limnetic,7-Feb-20,111,1.6,49,12,2,
Illiamna,Summer 2017,Limnetic,7-Feb-20,112,1.61,62,12,3,
Illiamna,Summer 2017,Limnetic,7-Feb-20,113,1.54,48,10,2,
Illiamna,Summer 2017,Limnetic,7-Feb-20,114,0.92,44,8,1,
Illiamna,Summer 2017,Limnetic,7-Feb-20,115,1.18,50,10,0,
Illiamna,Summer 2017,Limnetic,7-Feb-20,116,1.59,53,10,1,
Illiamna,Summer 2017,Limnetic,7-Feb-20,117,1.33,46,10,1,
Illiamna,Summer 2017,Limnetic,7-Feb-20,118,0.47,38,7,0,
Illiamna,Summer 2017,Limnetic,7-Feb-20,119,1.24,50,10,1,
Illiamna,Summer 2017,Limnetic,7-Feb-20,120,1.41,54,10,0,
Illiamna,Summer 2017,Limnetic,7-Feb-20,121,1.56,46,9,4,
Illiamna,Summer 2017,Limnetic,7-Feb-20,122,1.08,49,10,0,
Illiamna,Summer 2017,Limnetic,7-Feb-20,123,1.18,45,10,1,
Illiamna,Summer 2017,Limnetic,7-Feb-20,124,2.06,58,11,1,
Illiamna,Summer 2017,Limnetic,7-Feb-20,125,1.53,54,11,0,
Illiamna,Summer 2017,Limnetic,7-Feb-20,126,0.58,35,8,1,
Illiamna,Summer 2017,Limnetic,7-Feb-20,127,1.21,50,11,0,
Illiamna,Summer 2017,Limnetic,7-Feb-20,128,1.55,49,12,1,
Illiamna,Summer 2017,Limnetic,14-Feb-20,129,1.64,58,11,1,
Illiamna,Summer 2017,Limnetic,14-Feb-20,130,1.48,54,11,2,
Illiamna,Summer 2017,Limnetic,14-Feb-20,131,0.56,42,7,0,
Illiamna,Summer 2017,Limnetic,14-Feb-20,132,1.45,55,11,1,
Illiamna,Summer 2017,Limnetic,14-Feb-20,133,1.08,48,10,1,
Illiamna,Summer 2017,Limnetic,14-Feb-20,134,1.55,52,10,1,
Illiamna,Summer 2017,Limnetic,14-Feb-20,135,1.21,55,11,0,
Illiamna,Summer 2017,Limnetic,14-Feb-20,136,1.19,50,9,4,
Illiamna,Summer 2017,Limnetic,14-Feb-20,137,1.04,52,9,0,
Illiamna,Summer 2017,Limnetic,14-Feb-20,138,1.66,59,12,1,
Illiamna,Summer 2017,Limnetic,14-Feb-20,139,1.46,58,11,0,
Illiamna,Summer 2017,Limnetic,14-Feb-20,140,1.02,48,9,0,
Illiamna,Summer 2017,Limnetic,14-Feb-20,141,1.24,48,10,2,
Illiamna,Summer 2017,Limnetic,14-Feb-20,142,1.48,55,10,0,
Illiamna,Summer 2017,Limnetic,14-Feb-20,143,0.22,26,6,1,
Illiamna,Summer 2017,Limnetic,14-Feb-20,144,0.41,35,7,1,
Illiamna,Summer 2017,Limnetic,14-Feb-20,145,0.55,40,7,0,
Illiamna,Summer 2017,Limnetic,14-Feb-20,146,0.55,37,7,1,
Illiamna,Summer 2017,Limnetic,14-Feb-20,147,0.27,34,6,0,
Illiamna,Summer 2017,Limnetic,14-Feb-20,148,0.33,33,8,2,
Illiamna,Summer 2017,Limnetic,14-Feb-20,149,1.24,46,10,1,
Illiamna,Summer 2017,Limnetic,14-Feb-20,150,1.1,50,9,0,
Illiamna,Summer 2017,Limnetic,14-Feb-20,151,0.51,38,6,0,
Illiamna,Summer 2017,Limnetic,14-Feb-20,152,0.53,37,8,1,
Illiamna,Summer 2017,Limnetic,14-Feb-20,153,0.39,31,7,2,
Illiamna,Summer 2017,Limnetic,14-Feb-20,154,0.4,35,6,0,
Illiamna,Summer 2017,Limnetic,14-Feb-20,155,0.27,29,6,0,
Illiamna,Summer 2017,Limnetic,14-Feb-20,156,0.57,38,7,1,
Illiamna,Summer 2017,Limnetic,14-Feb-20,157,0.18,22,4,0,
Illiamna,Summer 2017,Limnetic,14-Feb-20,158,0.13,27,4,0,
Illiamna,Summer 2017,Limnetic,14-Feb-20,159,0.36,31,7,1,
Illiamna,Summer 2017,Limnetic,14-Feb-20,160,1.9,57,13,2,
Illiamna,Summer 2017,Limnetic,14-Feb-20,161,1.11,46,10,2,
Illiamna,Summer 2017,Limnetic,14-Feb-20,162,0.57,33,8,8,
Illiamna,Summer 2017,Limnetic,14-Feb-20,163,0.34,30,7,1,
Illiamna,Summer 2017,Limnetic,14-Feb-20,164,0.32,32,7,1,
Illiamna,Summer 2017,Limnetic,14-Feb-20,165,1.31,49,7,0,
Illiamna,Summer 2017,Limnetic,14-Feb-20,166,1.45,57,10,1,
Illiamna,Summer 2017,Limnetic,14-Feb-20,167,0.33,32,11,1,
Illiamna,Summer 2017,Limnetic,14-Feb-20,168,1.51,47,11,2,
Illiamna,Summer 2017,Limnetic,14-Feb-20,169,0.52,37,8,0,
Illiamna,Summer 2017,Limnetic,14-Feb-20,170,0.35,32,8,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,171,2.01,57,10,2,
Illiamna,Summer 2017,Littoral,25-Feb-20,172,1.85,60,11,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,173,0.88,48,9,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,174,1.16,51,9,1,
Illiamna,Summer 2017,Littoral,25-Feb-20,175,1.8,59,9,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,176,1.28,56,9,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,177,1.68,51.5,11,1,
Illiamna,Summer 2017,Littoral,25-Feb-20,178,1.66,54,12,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,179,1.34,56,10,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,180,1.89,56,12,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,181,0.801,50,10,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,182,1.32,52,11,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,183,1.46,61,11,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,184,1.94,61,12,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,185,1.79,57,11,1,
Illiamna,Summer 2017,Littoral,25-Feb-20,186,1.85,56,11,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,187,1.02,51,9,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,188,1.29,52,10,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,189,1.77,62,11,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,190,1.13,50,10,2,
Illiamna,Summer 2017,Littoral,25-Feb-20,191,1.85,51,9,2,
Illiamna,Summer 2017,Littoral,25-Feb-20,192,0.87,49,11,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,193,0.95,53,9,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,194,1.19,51,10,1,
Illiamna,Summer 2017,Littoral,25-Feb-20,195,1.25,57,10,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,196,0.76,45,7,1,
Illiamna,Summer 2017,Littoral,25-Feb-20,197,0.93,52,10,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,198,1.02,51,9,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,199,1.38,56.5,12,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,200,1.43,54,13,1,
Illiamna,Summer 2017,Littoral,25-Feb-20,201,0.64,44,9,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,202,1.45,55,12,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,203,1.48,59,11,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,204,1.31,48,12,2,
Illiamna,Summer 2017,Littoral,25-Feb-20,205,1.78,61,11,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,206,1.6,58,12,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,207,2.05,60,12,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,208,1.84,60,12,1,
Illiamna,Summer 2017,Littoral,25-Feb-20,209,1.71,59,12,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,210,1.35,52,11,2,
Illiamna,Summer 2017,Littoral,25-Feb-20,211,1.66,58,12,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,212,1.5,56,12,2,
Illiamna,Summer 2017,Littoral,25-Feb-20,213,0.84,51,9,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,214,1.46,54,11,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,215,1.85,56,12,2,
Illiamna,Summer 2017,Littoral,25-Feb-20,216,0.96,51,9,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,217,0.37,34,7,1,
Illiamna,Summer 2017,Littoral,25-Feb-20,218,1.07,52,10,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,219,0.55,47,10,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,220,1.38,55,11,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,221,1.05,50,10,0,
Illiamna,Summer 2017,Littoral,25-Feb-20,222,1.73,59,12,0,
